market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2025-12-29T00:00:00,2025-12-29 09:00:00,127914000.0,130575000.0,126500000.0,127161000.0,1767052798792,220268015461.04065,1716.16307789,127914000.0,-753000.0,-0.0058867677
KRW-BTC,2025-12-30T00:00:00,2025-12-30 09:00:00,127161000.0,129602000.0,126356000.0,128570000.0,1767139198084,139741603867.2498,1093.6008784,127161000.0,1409000.0,0.0110804413
KRW-BTC,2025-12-31T00:00:00,2025-12-31 09:00:00,128570000.0,129211000.0,127501000.0,128067000.0,1767225598143,98546384029.81483,766.93902682,128570000.0,-503000.0,-0.0039122657
KRW-BTC,2026-01-01T00:00:00,2026-01-01 09:00:00,128000000.0,128943000.0,127864000.0,128830000.0,1767311999931,61981087054.79724,483.26770513,128067000.0,763000.0,0.005957819
KRW-BTC,2026-01-02T00:00:00,2026-01-02 09:00:00,128830000.0,131400000.0,128321000.0,130150000.0,1767398399817,195008412674.76984,1503.23975291,128830000.0,1320000.0,0.0102460607
KRW-BTC,2026-01-03T00:00:00,2026-01-03 09:00:00,130151000.0,131103000.0,129290000.0,131077000.0,1767484798449,101398141459.54893,777.87069983,130150000.0,927000.0,0.0071225509
KRW-BTC,2026-01-04T00:00:00,2026-01-04 09:00:00,131077000.0,132880000.0,131060000.0,132386000.0,1767571199425,127338541504.02437,963.73906887,131077000.0,1309000.0,0.0099864965
KRW-BTC,2026-01-05T00:00:00,2026-01-05 09:00:00,132386000.0,136950000.0,132364000.0,136074000.0,1767657599932,279199172918.64575,2066.27446338,132386000.0,3688000.0,0.0278579306
KRW-BTC,2026-01-06T00:00:00,2026-01-06 09:00:00,136074000.0,136800000.0,133182000.0,136299000.0,1767743999676,230350722269.80878,1700.60775251,136074000.0,225000.0,0.0016535121
KRW-BTC,2026-01-07T00:00:00,2026-01-07 09:00:00,136299000.0,136299000.0,132500000.0,132939000.0,1767830399843,174614450830.61075,1303.7621332,136299000.0,-3360000.0,-0.0246516849
KRW-BTC,2026-01-08T00:00:00,2026-01-08 09:00:00,132939000.0,133750000.0,130777000.0,133174000.0,1767916798901,160701587968.26843,1215.09100251,132939000.0,235000.0,0.0017677281
KRW-BTC,2026-01-09T00:00:00,2026-01-09 09:00:00,133200000.0,134809000.0,131770000.0,133451000.0,1768003198435,111942374644.32535,839.63400522,133174000.0,277000.0,0.0020799856
KRW-BTC,2026-01-10T00:00:00,2026-01-10 09:00:00,133449000.0,133895000.0,133200000.0,133503000.0,1768089599282,37989320062.43845,284.42249811,133451000.0,52000.0,0.0003896561
KRW-BTC,2026-01-11T00:00:00,2026-01-11 09:00:00,133503000.0,134250000.0,133106000.0,133702000.0,1768175999909,56334876915.38559,421.49682452,133503000.0,199000.0,0.0014906032
KRW-BTC,2026-01-12T00:00:00,2026-01-12 09:00:00,133751000.0,136000000.0,133200000.0,134602000.0,1768262398652,177101152374.305,1315.03099916,133702000.0,900000.0,0.0067313877
KRW-BTC,2026-01-13T00:00:00,2026-01-13 09:00:00,134602000.0,140670000.0,134321000.0,139968000.0,1768348799882,269209757296.38315,1960.12905214,134602000.0,5366000.0,0.0398656781
KRW-BTC,2026-01-14T00:00:00,2026-01-14 09:00:00,139946000.0,143050000.0,138800000.0,142160000.0,1768435199720,278934924864.67255,1980.87710753,139968000.0,2192000.0,0.0156607225
KRW-BTC,2026-01-15T00:00:00,2026-01-15 09:00:00,142160000.0,142815000.0,140400000.0,140907000.0,1768521599308,203771919237.32,1439.1419475,142160000.0,-1253000.0,-0.0088140124
KRW-BTC,2026-01-16T00:00:00,2026-01-16 09:00:00,140907000.0,141346000.0,139800000.0,141083000.0,1768607998759,126132831505.66002,896.66376962,140907000.0,176000.0,0.0012490508
KRW-BTC,2026-01-17T00:00:00,2026-01-17 09:00:00,141087000.0,141250000.0,140409000.0,140527000.0,1768694398658,60411464709.9147,429.07237668,141083000.0,-556000.0,-0.0039409426
KRW-BTC,2026-01-18T00:00:00,2026-01-18 09:00:00,140526000.0,141200000.0,138894000.0,138940000.0,1768780799492,90130260920.1119,642.23701912,140527000.0,-1587000.0,-0.0112932034
KRW-BTC,2026-01-19T00:00:00,2026-01-19 09:00:00,138944000.0,138993000.0,136590000.0,137010000.0,1768867199846,202997188501.51297,1474.79458216,138940000.0,-1930000.0,-0.0138908882
KRW-BTC,2026-01-20T00:00:00,2026-01-20 09:00:00,137010000.0,137650000.0,135600000.0,136020000.0,1768887537460,56826067655.98193,415.67282368,137010000.0,-990000.0,-0.0072257499
